clinic code,clinic name,symptoms,symptom code,main symptom, eng clinic
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะ่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบเยี่ยว่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อยากฉี่่บ่อยมาก","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะ่บ่อยมาก","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อยากเยี่ยว่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ฉี่่บ่อยมาก","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบปัสสาวะ่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อยากฉี่่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปวดเยี่ยว่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะ่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบปัสสาวะ่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปวดฉี่่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อยากเยี่ยว่บ่อยมาก","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปวดปัสสาวะ่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบฉี่่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปวดปัสสาวะ่บ่อย","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบเยี่ยว่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย","OPD Surgery"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์ไม่มาขาด","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนไม่มาขาด","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์ขาด","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์ขาด","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์ไม่มาหาย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนไม่ตรง","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์ไม่มาขาด","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนมาก","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนมามาก","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนมาน้อย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์มาหาย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนมาเยอะ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์ไม่มาน้อย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์ไม่มาเยอะ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนไม่ตรง","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์มาผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนมาก","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์ไม่มาน้อย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนไม่มาเยอะ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนมาเยอะ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนมาผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์มาเยอะ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนมาน้อย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนหาย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์หาย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์มาไม่ตรง","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์ผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนไม่มาหาย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนมาขาด","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนไม่มามาก","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์มาไม่ตรง","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนขาด","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนมาขาด","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนไม่มาน้อย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนไม่มามาก","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์มาก","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนไม่มาหาย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์น้อย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์ไม่มามาก","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์มาน้อย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์มาขาด","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์มาหาย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนมามาก","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์มามาก","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนเยอะ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนไม่มาไม่ตรง","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์น้อย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์ไม่ตรง","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์มาขาด","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์มาก","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์เยอะ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์ไม่มาไม่ตรง","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนไม่มาผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนน้อย","HP0000141","ประจำเดือนมาผิดปกติ","OPD Obstetric & Gyne"
CL0002,"แผนกหู คอ จมูก","แผลในลิ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีแผลในช่องริมฝีปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีแผลแถวๆในปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ตุ่มใสขึ้นในลิ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากมีตุ่มน้ำขึ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","แผลบริเวณลิ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากมีแผล","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีตุ่มน้ำใสขึ้นแถวๆริมฝีปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากเป็นแผล","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","แผลบริเวณปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ตุ่มขึ้นที่ลิ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ตุ่มใสขึ้นบริเวณช่องปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ตุ่มน้ำในในปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากมีตุ่มขึ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีแผลที่ริมฝีปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีตุ่มใสที่ลิ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากมีตุ่มน้ำใสมา","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากมีตุ่มน้ำมา","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","แสบปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากมีตุ่มน้ำใสขึ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","แผลแถวๆในช่องริมฝีปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","เจ็บปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีแผลที่ลิ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีแผลแถวๆช่องปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีตุ่มน้ำขึ้นที่ในช่องปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีตุ่มน้ำขึ้นบริเวณลิ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีตุ่มน้ำใสขึ้นแถวๆลิ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ร้อนใน","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","แผลที่ริมฝีปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ตุ่มบริเวณลิ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากมีตุ่มน้ำใส","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากมีตุ่ม","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากเป็นตุ่มน้ำขึ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีแผลที่ในปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","แผลแถวๆช่องปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากเป็นตุ่มน้ำ","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ตุ่มน้ำในช่องปาก","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีแผลบริเวณลิ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีแผลแถวๆลิ้น","HP0000155","แผลในปาก","OPD Ear Nose Throat"
CL0006,"คลินิกทันตกรรม","ต้องการนัดมาทำการตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","ตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","ต้องการนัดตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","อยากตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","ต้องการนัดมาตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","ต้องการมาทำการตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","อยากนัดตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","มาทำการตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","อยากมาตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","ต้องการมาตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","อยากนัดมาตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","มีนัดมาทำการตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","ต้องการตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","มีนัดตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","มีนัดมาตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","มาตรวจฟัน","HP0000164","ตรวจฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","เลือดออกที่ฟันด้านฝั่งขวา","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","มีเลือดออกที่ฟันหน้าด้านซีกซ้ายด้านบน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","แปรงฟันมีเลือดไหล","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","พอแปรงฟันเลือดไหล","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","แปรงฟันแล้วเลือดไหล","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","พอแปรงฟันเลือดไหลฟันหน้าด้านซีกซ้ายส่วนล่าง","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","พอแปรงฟันมีเลือดออก","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","มีเลือดออกที่ฟันด้านบน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","แปรงฟันแล้วเลือดออก","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","พอแปรงฟันเลือดออกที่ฟัน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","พอแปรงฟันมีเลือดไหลที่ฟัน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","เลือดออกที่ฟันด้านบน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","เลือดออกที่ฟันด้านซีกขวาล่าง","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","พอแปรงฟันเลือดออกที่ฟันด้านซีกซ้ายด้าน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","พอแปรงฟันแล้วเลือดไหลฟัน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","พอแปรงฟันมีเลือดไหลฟัน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","แปรงฟันเลือดไหล","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","มีเลือดออกที่ฟันด้านล่างซ้าย","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","เลือดออกที่ฟัน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","แปรงฟันแล้วมีเลือดไหลที่ฟันกรามด้านซีกซ้ายส่วนบน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","เลือดออกที่ฟันหน้าด้านฝั่งซ้ายล่าง","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","มีเลือดออกที่ฟัน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","แปรงฟันเลือดออกฟัน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","พอแปรงฟันมีเลือดออกฟัน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","เลือดออกที่ฟันกรามด้านซีกซ้ายด้านล่าง","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","พอแปรงฟันเลือดออก","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","มีเลือดออกตอนที่แปรงฟัน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","พอแปรงฟันเลือดออกฟัน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","มีเลือดออกขณะแปรงฟัน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
CL0006,"คลินิกทันตกรรม","แปรงฟันแล้วเลือดออกฟันด้านฝั่งซ้ายด้าน","HP0000225","เลือดออกตามไรฟัน","Dental Department"
