clinic_code,clinic_name,symptoms,symptom_code,main_symptom,eng_clinic
CL0008,"คลินิกระบบทางเดินปัสสาวะ","1 ชั่วโมงก่อนมีอาการเยี่ยว่บ่อย","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","อยากฉี่่บ่อยมากๆเมื่อราวๆ 2 วันก่อนจะมาหาหมอ","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปวดปัสสาวะ่บ่อย","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยว่บ่อยมากๆมีอาการมาประมาณ 2 ชั่วโมงก่อนมาพบแพทย์","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบปัสสาวะ่บ่อยเป็นมาประมาณ 3 เดือนก่อน","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","6 วันมีอาการฉี่่บ่อยมาก","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยว่บ่อย","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบเยี่ยว่บ่อยน่าจะประมาณ 7 วันพบแพทย์","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะ่บ่อย","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบปัสสาวะ่บ่อย","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปัสสาวะ่บ่อยเริ่มราวๆ 1 สัปดาห์มามาโรงพยาบาล","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ประมาณ 1 ชั่วโมงก่อนหน้านี้มีอาการชอบฉี่่บ่อยมาก","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ชอบปัสสาวะ่บ่อยมาก","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปวดเยี่ยว่บ่อยมากน่าจะเป็นมาประมาณ 3 สัปดาห์ก่อนมาโรงพยาบาล","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยว่บ่อยมาก","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","8 วันนี้มีอาการชอบเยี่ยว่บ่อย","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ราวๆ 7 อาทิตย์มีอาการปวดฉี่่บ่อย","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","9 สัปดาห์ก่อนนี้มีอาการปวดปัสสาวะ่บ่อยมากๆ","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยว่บ่อยเป็นมาราวๆ 5 ชั่วโมงก่อนหาหมอ","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยว่บ่อยมากประมาณ 4 เดือนก่อนจะมา","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","ปวดฉี่่บ่อยมากเป็นมาประมาณ 4 เดือนก่อน","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0008,"คลินิกระบบทางเดินปัสสาวะ","เยี่ยว่บ่อยเมื่อประมาณ 7 วันหาหมอ","HP0000103","ปัสสาวะบ่อย", "OPD Surgery"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์ผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์ไม่มาขาด","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","3 ชั่วโมงก่อนมีอาการเมนส์ไม่ตรง","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์มาหาย","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","5 สัปดาห์นี้มีอาการเมนส์ไม่มาหาย","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์มาก","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์ไม่มาผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์หาย","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","1 สัปดาห์มีอาการไม่มีประจำเดือนไม่มาน้อย","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมื่อ 9 เดือนนี้มีอาการเมนส์มาเยอะ","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมื่อ 7 วันก่อนนี้มีอาการไม่มีประจำเดือนผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนเยอะ","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนมาผิดปกติคาดว่าราวๆ 7 วันก่อนมาโรงพยาบาล","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนเยอะเริ่มประมาณ 4 เดือนก่อนมามาโรงพยาบาล","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประมาณ 9 สัปดาห์ก่อนหน้ามีอาการไม่มีประจำเดือนผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนมาไม่ตรง","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์ไม่มาผิดปกติน่าจะเป็นมาประมาณ 4 เดือนมาโรงพยาบาล","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนไม่มาผิดปกติ","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์มาหายเมื่อราวๆ 4 ชั่วโมงก่อนมาโรงพยาบาล","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์มากเริ่มเป็นมาราวๆ 4 ชั่วโมงก่อนมา","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","2 วันก่อนหน้ามีอาการประจำเดือนมาก","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีเมนส์ไม่ตรง","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","8 ชั่วโมงนี้มีอาการประจำเดือนมาก","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์ขาดน่าจะเมื่อราวๆ 1 สัปดาห์จะมา","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ไม่มีประจำเดือนผิดปกติเป็นมาราวๆ 6 ชั่วโมงก่อนจะมา","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","ประจำเดือนมาหาย","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมื่อ 1 วันก่อนนี้มีอาการไม่มีประจำเดือนไม่ตรง","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0012,"ศูนย์สุขภาพสตรี","เมนส์ไม่มาน้อย","HP0000141","ประจำเดือนมาผิดปกติ", "OPD Obstetric & Gyne"
CL0002,"แผนกหู คอ จมูก","ราวๆ 2 ชั่วโมงนี้มีอาการแสบปาก","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","เจ็บปากเมื่อประมาณ 4 อาทิตย์ก่อน","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ตุ่มน้ำใสขึ้นที่ในช่องริมฝีปากคาดว่าราวๆ 4 อาทิตย์ก่อนจะมาหาหมอ","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีแผลแถวๆลิ้นราวๆ 7 ชั่วโมงมาหาหมอ","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากเป็นแผล","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากเป็นแผลคาดว่าราวๆ 4 สัปดาห์ก่อนมาพบแพทย์","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากเป็นแผลเป็นมาประมาณ 2 สัปดาห์ก่อน","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากเป็นแผลประมาณ 7 อาทิตย์จะมา","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","แผลในลิ้น","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากเป็นตุ่มน้ำขึ้นมาเป็นมาราวๆ 1 วันก่อนมาหาหมอ","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","แสบปาก","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ราวๆ 5 วันมีอาการร้อนใน","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","3 เดือนก่อนนี้มีอาการเจ็บปาก","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากมีแผลน่าจะประมาณ 6 วันมาพบแพทย์","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","แผลบริเวณช่องริมฝีปาก","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","เมื่อ 7 เดือนนี้มีอาการมีตุ่มใสที่ในริมฝีปาก","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ตุ่มขึ้นบริเวณในปากน่าจะราวๆ 5 สัปดาห์ก่อน","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากเป็นตุ่มประมาณ 2 อาทิตย์มาหาหมอ","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ประมาณ 7 สัปดาห์ก่อนนี้มีอาการร้อนใน","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ร้อนใน","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","แสบปากประมาณ 3 อาทิตย์ก่อนจะมา","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ราวๆ 8 วันก่อนหน้ามีอาการร้อนใน","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีตุ่มที่ช่องริมฝีปากน่าจะมีอาการมาประมาณ 6 ชั่วโมงหาหมอ","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ตุ่มน้ำใสขึ้นในในช่องปาก","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","มีแผลบริเวณลิ้นเป็นมาราวๆ 5 วันก่อนจะมาพบแพทย์","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ตุ่มขึ้นแถวๆในริมฝีปากเริ่มเป็นมาประมาณ 3 วันก่อนมา","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","เจ็บปากประมาณ 2 สัปดาห์ก่อนจะมา","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","ปากเป็นแผลคาดว่าประมาณ 6 ชั่วโมงก่อน","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0002,"แผนกหู คอ จมูก","เจ็บปาก","HP0000155","แผลในปาก", "OPD Ear Nose Throat"
CL0006,"คลินิกทันตกรรม","ตรวจฟันเมื่อราวๆ 4 วันมา","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","มีนัดมาทำการตรวจฟัน","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","ตรวจฟันน่าจะเมื่อราวๆ 7 วันก่อนมาหาหมอ","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","เพื่อมีนัดตรวจฟัน","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","มาทำการตรวจฟัน","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","5 เดือนก่อนหน้ามีอาการมาทำการตรวจฟัน","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","มามีนัดตรวจฟัน","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","ตรวจฟัน","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","วันนี้มามีนัดมาตรวจฟัน","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","ตรวจฟันเริ่มเป็นมาราวๆ 6 วัน","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","8 เดือนมีอาการมาทำการตรวจฟัน","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","มีนัดมาเพื่อมีนัดตรวจฟัน","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","เมื่อ 9 วันนี้มีอาการตรวจฟัน","HP0000164","ตรวจฟัน", "Dental Department"
CL0006,"คลินิกทันตกรรม","4 เดือนก่อนนี้มีอาการมาตรวจฟัน","HP0000164","ตรวจฟัน", "Dental Department"
